Coursename,Coursecode,Hours,Classification
Accelerated First-Year Hindi,HIN 604,6,Lower Division
First-Year Hindi I,HIN 506,5,Lower Division
First-Year Hindi II,HIN 507,5,Lower Division
Accelerated Second-Year Hindi,HIN 612,6,Lower Division
Second-Year Hindi I,HIN 312K,3,Lower Division
Second-Year Hindi II,HIN 312L,3,Lower Division
Practice in Spoken Hindi,HIN 118,1,Lower Division
Topics in Hindi,"HIN 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Practice in Spoken Hindi,HIN 125,1,Upper Division
Topics in Hindi,"HIN 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Hindi Language and Literature,HIN 330,3,Upper Division
Discourses of Identity in Hindi Fiction,HIN 330C,3,Upper Division
Hindi Across Disciplines,HIN 130D,1,Upper Division
Realism and Urbanism in Hindi,HIN 330E,3,Upper Division
Brajbhasha Texts,HIN 330F,3,Upper Division
Style and Register in Hindi,HIN 332,3,Upper Division
Conference Course in Hindi Language and Literature,HIN 360,3,Upper Division
Conference Course in Hindi Language and Culture,HIN 381,3,Graduate
Topics in Hindi Language and Culture,HIN 384,3,Graduate
,,Total Hours: 61
DegreeView
